target_id	length	eff_length	est_counts	tpm
Smp_123950.1	2732	2561.08	594.749	18.9873
Smp_123940.1	3587	3416.08	357.251	8.55065
Smp_003340.1	3440	3269.08	985	24.6356
Smp_003330.1	586	415.079	156	30.7289
Smp_123930.1	1284	1113.08	1414	103.867
Smp_123920.1	573	402.079	3	0.610047
Smp_003300.1	1167	996.079	0	0
Smp_123910.1	741	570.079	34	4.87637
Smp_123900.1	195	51.0657	0	0
Smp_003280.1	3027	2856.08	19	0.543922
Smp_123880.1	586	415.079	3460	681.551
Smp_003250.1	408	237.915	203	69.7635
Smp_123870.1	498	327.186	489	122.199
Smp_003230.1	3038	2867.08	740.619	21.1207
Smp_123860.1	2709	2538.08	234	7.53813
Smp_123850.1	264	103.582	0	0
Smp_123840.1	2580	2409.08	61	2.07029
Smp_003190.1	3648	3477.08	39	0.917071
Smp_123830.1	4818	4647.08	4594	80.8284
Smp_123820.1	3120	2949.08	32	0.88719
Smp_123810.1	1542	1371.08	39	2.32571
Smp_003140.1	1766	1595.08	756	38.7519
Smp_003130.1	741	570.079	291	41.736
Smp_123790.1	948	777.079	66	6.94435
Smp_123780.1	1944	1773.08	153	7.05532
Smp_003110.1	1246	1075.08	1265.87	96.2722
Smp_003110.2	5152	4981.08	244.233	4.00897
Smp_197080.1	2541	2370.08	2222	76.6539
Smp_197070.1	1734	1563.08	102	5.33547
Smp_123750.1	3142	2971.08	1515.21	41.6977
Smp_200440.1	462	291.369	77	21.6073
Smp_200470.1	276	113.92	0	0
Smp_200480.1	480	309.265	1	0.264376
Smp_073800.1	2571	2400.08	454	15.4662
Smp_073790.1	781	610.079	2073	277.822
Smp_162060.1	2212	2041.08	1335	53.4779
Smp_162050.1	5603	5432.08	353	5.31327
Smp_162040.1	8890	8719.08	3009.99	28.2259
Smp_162030.1	1425	1254.08	311	20.2763
Smp_073720.1	3573	3402.08	765	18.3853
Smp_162010.1	2385	2214.08	62.3285	2.30169
Smp_073690.1	10945	10774.1	425.686	3.23045
Smp_073690.2	708	537.079	275.78	41.9834
Smp_073680.1	1258	1087.08	562	42.2696
Smp_162000.1	23589	23418.1	2014.23	7.0325
Smp_118280.1	564	393.079	85	17.6804
Smp_191880.1	504	333.169	3	0.736223
Smp_073620.1	2185	2014.08	1047	42.5034
Smp_073610.2	11214	11043.1	1050.26	7.77604
Smp_073610.1	11384	11213.1	66.1153	0.482092
Smp_073600.1	1128	957.079	1028	87.821
Smp_073590.1	787	616.079	2662	353.285
Smp_161990.1	525	354.118	171	39.4822
Smp_161940.1	872	701.079	277	32.3047
Smp_073490.1	1033	862.079	228	21.6242
Smp_073500.1	4587	4416.08	141.49	2.61965
Smp_073500.2	1359	1188.08	1689.91	116.298
Smp_161950.1	327	159.875	14	7.1598
Smp_073510.1	1568	1397.08	194.294	11.3708
Smp_161960.1	3527	3356.08	528	12.8634
Smp_161970.1	2355	2184.08	718	26.8788
Smp_073540.1	763	592.079	655	90.4513
Smp_161980.1	4094	3923.08	886	18.4654
Smp_073560.1	22014	21843.1	649.12	2.42976
Smp_073560.2	1548	1377.08	828.988	49.2201
Smp_073570.1	947	776.079	370.765	39.0612
Smp_079240.1	2494	2323.08	310	10.9107
Smp_079230.1	431	260.617	1733	543.688
Smp_079430.1	804	633.079	1748.53	225.823
Smp_079430.2	651	480.079	2466.47	420.065
Smp_185870.1	846	675.079	0	0
Smp_079420.1	3576	3405.08	66.2886	1.59171
Smp_079420.2	2384	2213.08	751.711	27.772
Smp_079410.1	2776	2605.08	144	4.51954
Smp_079400.1	1932	1761.08	320	14.8568
Smp_164970.1	417	246.781	29	9.60814
Smp_079390.1	5784	5613.08	665	9.68665
Smp_079380.1	1623	1452.08	113	6.3627
Smp_079370.2	3594	3423.08	303.546	7.25038
Smp_079370.1	3538	3367.08	143.454	3.48347
Smp_164960.1	9219	9048.08	1183.1	10.691
Smp_164950.1	2104	1933.08	200	8.45928
Smp_164940.1	10762	10591.1	604.323	4.66532
Smp_164930.1	4387	4216.08	599	11.6164
Smp_079310.1	972	801.079	2586	263.941
Smp_164920.1	306	140.606	46	26.749
Smp_164910.1	162	31.1837	0	0
Smp_164890.1	2114	1943.08	299	12.5815
Smp_164900.1	570	399.079	79	16.1853
Smp_079290.1	1318	1147.08	1963.86	139.981
Smp_079290.3	1381	1210.08	191.143	12.9151
Smp_079280.1	792	621.079	29	3.81772
Smp_079270.1	782	611.079	811.431	108.569
Smp_079260.1	1887	1716.08	0	0
Smp_196530.1	51	16.5	0	0
Smp_053390.1	510	339.153	1503	362.341
Smp_150750.1	7524	7353.08	565	6.2825
Smp_150740.1	2760	2589.08	1302	41.1167
Smp_150730.1	3084	2913.08	185	5.19245
Smp_200350.1	174	38.0182	14	30.1085
Smp_150720.1	210	61.3153	0	0
Smp_200560.1	312	146.105	41	22.9441
Smp_194870.1	312	146.105	56.6016	31.675
Smp_194860.1	279	116.49	7831	5496.45
Smp_053300.1	3877	3706.08	238.398	5.25947
Smp_156140.1	1926	1755.08	37	1.72369
Smp_168410.1	1140	969.079	15	1.26557
Smp_085180.1	1108	937.079	926	80.7956
Smp_168400.1	11968	11797.1	276.272	1.91476
Smp_196450.1	862	691.079	34	4.02258
Smp_163640.1	450	279.469	217	63.4862
Smp_077030.1	1522	1351.08	916	55.4329
Smp_163630.2	301	136.019	477.478	287.017
Smp_163630.1	551	380.118	1211.52	260.595
Smp_076710.1	1113	942.079	136	11.8033
Smp_163440.1	678	507.079	0	0
Smp_163430.1	1364	1193.08	447	30.6331
Smp_163420.1	12655	12484.1	1472.05	9.64096
Smp_163420.2	5205	5034.08	233.947	3.7997
Smp_058200.1	234	79.2785	1	1.03133
Smp_200580.1	294	129.821	0	0
Smp_076660.1	6791	6620.08	1405.06	17.3534
Smp_076630.2	1937	1766.08	419.799	19.435
Smp_076630.1	1970	1799.08	45.2005	2.05422
Smp_163400.1	273	111.324	0	0
Smp_200600.1	363	194.202	0	0
Smp_080280.1	2690	2519.08	1733.6	56.2677
Smp_080280.3	3026	2855.08	201.404	5.7677
Smp_165400.1	6677	6506.08	51.7946	0.650906
Smp_165400.3	3012	2841.08	490.981	14.1298
Smp_165410.1	1122	951.079	1	0.0859679
Smp_080320.1	1269	1098.08	92	6.85026
Smp_165420.1	11811	11640.1	980.273	6.88564
Smp_080360.1	746	575.079	92	13.0802
Smp_159790.1	5208	5037.08	231	3.74961
Smp_069400.1	744	573.079	23	3.28145
Smp_069380.1	4065	3894.08	300	6.29897
Smp_159780.1	8175	8004.08	488	4.98496
Smp_196730.1	1800	1629.08	66	3.31249
Smp_159760.1	924	753.079	150	16.2856
Smp_159750.1	9712	9541.08	420.171	3.60066
Smp_159740.1	2319	2148.08	336	12.7892
Smp_159730.2	2313	2142.08	0	0
Smp_159730.1	3198	3027.08	1109	29.9544
Smp_196720.1	995	824.079	275	27.2846
Smp_035540.1	1636	1465.08	278	15.5145
Smp_035540.2	1547	1376.08	0	0
Smp_035550.1	468	297.311	38	10.4502
Smp_035560.2	694	523.079	1769.42	276.577
Smp_035560.1	655	484.079	586.532	99.0669
Smp_035580.1	2986	2815.08	1289	37.4382
Smp_141310.1	4191	4020.08	24	0.488124
Smp_141320.1	1260	1089.08	149	11.1861
Smp_035620.1	552	381.118	296	63.5018
Smp_193250.1	303	137.856	86	51.0064
Smp_141330.1	1172	1001.08	647	52.8432
Smp_141340.1	279	116.49	44	30.8829
Smp_035640.1	294	129.821	5	3.14903
Smp_035650.1	1236	1065.08	18	1.3818
Smp_141350.1	2799	2628.08	60	1.86666
Smp_141360.1	3870	3699.08	677	14.964
Smp_188100.1	150	24.8946	22	72.2556
Smp_210790.1	729	558.079	1142	167.311
Smp_210800.1	1440	1269.08	20	1.28853
Smp_141380.1	2150	1979.08	318	13.1376
Smp_035700.1	1287	1116.08	160	11.7214
Smp_141390.1	1347	1176.08	661	45.9534
Smp_141290.1	2025	1854.08	1832.66	80.8176
Smp_141290.4	1545	1374.08	1481.76	88.1697
Smp_141290.3	1377	1206.08	72.5814	4.92043
Smp_141290.2	1680	1509.08	0	0
Smp_141280.1	1134	963.079	49	4.15994
Smp_035500.1	735	564.079	68	9.85648
Smp_141270.1	2124	1953.08	115	4.81428
Smp_035480.1	678	507.079	570	91.9078
Smp_035470.1	1689	1518.08	3758	202.402
Smp_141260.1	357	188.403	0	0
Smp_035460.1	1685	1514.08	180	9.72024
Smp_141250.1	2409	2238.08	32	1.16904
Smp_141240.1	2079	1908.08	300	12.8552
Smp_035430.1	1556	1385.08	244.706	14.4452
Smp_035430.2	2201	2030.08	1602.29	64.5331
Smp_035410.1	1048	877.079	554	51.6445
Smp_035390.1	2215	2044.08	480	19.1998
Smp_035380.1	675	504.079	16	2.59522
Smp_035370.1	959	788.079	34	3.52746
Smp_035360.1	3071	2900.08	288	8.11962
Smp_141230.1	2241	2070.08	38	1.50089
Smp_141220.1	1959	1788.08	554	25.3324
Smp_035310.1	1829	1658.08	1583	78.06
Smp_035300.1	2930	2759.08	354.946	10.5184
Smp_035300.2	839	668.079	476.054	58.2615
Smp_035290.1	2218	2047.08	142	5.67162
Smp_035280.1	1621	1450.08	419	23.6252
Smp_035270.2	1050	879.079	1908.65	177.522
Smp_035270.1	1271	1100.08	415.346	30.8702
Smp_035260.1	10866	10695.1	1362.23	10.414
Smp_035250.1	884	713.079	36	4.12779
Smp_035220.1	1782	1611.08	76	3.857
Smp_035210.1	3327	3156.08	2404	62.2787
Smp_035200.2	1471	1300.08	660.231	41.5221
Smp_035200.1	1442	1271.08	2984.97	192.009
Smp_035200.4	1206	1035.08	4391.8	346.914
Smp_035200.3	1263	1092.08	0	0
Smp_035190.2	4811	4640.08	518.344	9.13368
Smp_035190.1	8095	7924.08	553.707	5.71326
Smp_141190.1	390	220.267	10	3.71196
Smp_035180.1	855	684.079	40	4.78087
Smp_035160.1	1104	933.079	45	3.94319
Smp_035150.1	948	777.079	355	37.3522
Smp_035140.1	3732	3561.08	131	3.00776
Smp_035120.1	438	267.551	7	2.13917
Smp_141180.1	1074	903.079	54	4.88901
Smp_035110.1	3435	3264.08	545	13.6518
Smp_141170.1	255	96.0261	5	4.2573
Smp_035090.1	3278	3107.08	341.649	8.99044
Smp_035090.3	3231	3060.08	11.6241	0.310584
Smp_035090.2	2583	2412.08	302.727	10.2615
Smp_035080.1	549	378.118	253	54.7075
Smp_141160.1	888	717.079	211	24.0585
Smp_141150.1	2958	2787.08	1002	29.3949
Smp_035040.1	967	796.079	86	8.83274
Smp_035030.1	4039	3868.08	2551	53.9223
Smp_035020.1	1484	1313.08	74.8851	4.66292
Smp_035020.2	1729	1558.08	748.89	39.299
Smp_035010.1	750	579.079	582	82.1747
Smp_035000.1	455	284.427	160	45.9941
Smp_141140.1	2255	2084.08	812	31.8563
Smp_034980.1	2637	2466.08	976.952	32.3906
Smp_034980.3	2665	2494.08	121.907	3.99641
Smp_034980.2	2594	2423.08	23.1412	0.780856
Smp_141130.1	228	74.6447	0	0
Smp_141120.1	4932	4761.08	440	7.55615
Smp_141110.1	738	567.079	62	8.93925
Smp_141100.1	2283	2112.08	236	9.13598
Smp_034940.1	6091	5920.08	649.265	8.967
Smp_034940.2	2355	2184.08	1310.91	49.0747
Smp_034940.3	2457	2286.08	38.1366	1.36397
Smp_141080.1	1529	1358.08	737	44.3706
Smp_034920.1	10812	10641.1	188	1.44453
Smp_141070.1	4560	4389.08	155	2.88743
Smp_034870.1	11214	11043.1	2484.75	18.3969
Smp_034860.1	5454	5283.08	12	0.185715
Smp_034850.1	1353	1182.08	588	40.6709
Smp_034840.2	1637	1466.08	3554.74	198.245
Smp_034840.1	1673	1502.08	5511.78	300.021
Smp_034840.3	750	579.079	3945.48	557.077
Smp_141040.1	2934	2763.08	642	18.9974
Smp_020450.1	2005	1834.08	994	44.312
Smp_133280.1	1869	1698.08	1073	51.6648
Smp_133270.1	2750	2579.08	1434	45.4609
Smp_133260.1	252	93.5887	25	21.8409
Smp_133250.1	3268	3097.08	268	7.07515
Smp_020400.1	1389	1218.08	275	18.4591
Smp_133230.1	1260	1089.08	123.772	9.29216
Smp_133230.2	1213	1042.08	24.2278	1.90093
Smp_133220.1	156	27.9511	15	43.8779
Smp_020370.1	642	471.079	2585	448.663
Smp_020360.1	321	154.338	1614	855.036
Smp_020340.1	3012	2841.08	440.559	12.6787
Smp_133210.1	2712	2541.08	252.441	8.1226
Smp_020300.1	3158	2987.08	717	19.6257
Smp_210400.1	750	579.079	334	47.1587
Smp_210410.1	963	792.079	459	47.3802
Smp_020270.1	5100	4929.08	437	7.24884
Smp_133180.1	3875	3704.08	120.641	2.66298
Smp_133180.2	5414	5243.08	2660.36	41.4865
Smp_133170.1	1059	888.079	179	16.4799
Smp_020210.1	1882	1711.08	880	42.05
Smp_133160.1	561	390.079	111	23.2661
Smp_020220.1	703	532.079	903.405	138.822
Smp_020220.2	692	521.079	14.5952	2.29013
Smp_020200.1	2490	2319.08	497	17.5224
Smp_133150.1	2335	2164.08	360	13.6014
Smp_133140.1	2160	1989.08	115	4.72714
Smp_178720.1	441	270.51	48	14.5081
Smp_101840.1	648	477.079	0	0
Smp_178710.1	912	741.079	37	4.08216
Smp_020170.1	6165	5994.08	137	1.86875
Smp_133120.1	2658	2487.08	1102.87	36.2566
Smp_133120.2	2640	2469.08	1938.13	64.1802
Smp_133110.1	1163	992.079	802	66.0969
Smp_020130.1	2839	2668.08	93	2.84995
Smp_020120.1	858	687.079	172	20.468
Smp_133100.1	3009	2838.08	16	0.460944
Smp_133090.1	390	220.267	17	6.31034
Smp_133080.1	939	768.079	5	0.532252
Smp_133070.1	1113	942.079	67	5.81488
Smp_155100.1	405	234.926	14	4.87247
Smp_155090.1	477	306.265	10	2.66965
Smp_020090.1	1243	1072.08	193	14.7192
Smp_020080.1	1803	1632.08	403.797	20.229
Smp_020080.2	999	828.079	58.2029	5.7468
Smp_020070.1	2802	2631.08	2599	80.7654
Smp_020060.1	2945	2774.08	759.759	22.3929
Smp_020050.1	2345	2174.08	1361.24	51.1932
Smp_020040.1	3926	3755.08	174.995	3.81029
Smp_020040.2	1503	1332.08	1360.68	83.5176
Smp_133050.1	4050	3879.08	627	13.2158
Smp_019990.1	2910	2739.08	449	13.4028
Smp_019980.1	1493	1322.08	1180	72.9756
Smp_019860.1	17508	17337.1	956.216	4.50955
Smp_019880.1	957	786.079	923	96.0038
Smp_019890.1	987	816.079	357	35.7675
Smp_019900.1	1683	1512.08	789.858	42.7098
Smp_133020.1	714	543.079	417	62.7807
Smp_191040.1	261	101.059	122	98.7044
Smp_019920.1	1503	1332.08	201	12.3373
Smp_133030.1	465	294.311	12	3.33371
Smp_019940.1	2131	1960.08	436.583	18.2115
Smp_019940.4	968	797.079	557.439	57.1806
Smp_019940.5	4601	4430.08	274.637	5.06874
Smp_151170.1	846	675.079	0	0
Smp_200380.1	1398	1227.08	242	16.1249
Smp_019950.1	1191	1020.08	670	53.7024
Smp_133040.1	5762	5591.08	252	3.68517
Smp_172790.1	423	252.706	127	41.0905
Smp_172780.1	3060	2889.08	523	14.8011
Smp_172800.1	1713	1542.08	471	24.9728
Smp_196590.1	1750	1579.08	267	13.8249
Smp_210750.1	420	249.744	282	92.3225
Smp_210760.1	3864	3693.08	255	5.64553
Smp_165980.1	1163	992.079	214	17.6368
Smp_165970.1	2484	2313.08	193	6.82213
Smp_081260.1	2778	2607.08	520	16.3081
Smp_081250.1	2448	2277.08	62	2.22621
Smp_165960.1	1545	1374.08	474	28.2046
Smp_165950.1	1209	1038.08	54	4.25321
Smp_081200.1	909	738.079	47	5.20653
Smp_081190.1	1373	1202.08	476	32.3763
Smp_200390.1	150	24.8946	7.90069	25.9486
Smp_200400.1	222	70.1389	11	12.8229
Smp_165940.1	354	185.516	11	4.84802
Smp_165930.1	4417	4246.08	1961	37.7609
Smp_165920.1	5080	4909.08	71.0576	1.18349
Smp_165920.2	4650	4479.08	516.942	9.4364
Smp_081140.1	1354	1183.08	69.5656	4.80766
Smp_173190.1	5084	4913.08	285	4.7429
Smp_131790.1	207	59.298	70	96.5186
Smp_173180.2	1339	1168.08	483.182	33.8214
Smp_173180.1	1507	1336.08	14.8175	0.906769
Smp_093230.1	1328	1157.08	956	67.5535
Smp_093220.1	1995	1824.08	972	43.5688
Smp_093210.1	1932	1761.08	237	11.0033
Smp_200410.1	954	783.079	474	49.491
Smp_167850.1	1718	1547.08	495.542	26.1891
Smp_208090.1	22706	22535.1	1623	5.8886
Smp_200420.1	219	67.9315	41.1075	49.477
Smp_024500.4	992	821.079	305.972	30.4685
Smp_024500.1	4355	4184.08	640.299	12.5123
Smp_024490.1	1149	978.079	655	54.7546
Smp_135440.1	276	113.92	0	0
Smp_210830.1	16084	15913.1	456.803	2.34708
Smp_210840.1	1632	1461.08	525.047	29.3817
Smp_098320.1	504	333.169	190	46.6274
Smp_098330.1	2794	2623.08	841	26.2143
Smp_014170.2	3202	3031.08	1316.65	35.5163
Smp_014170.1	3674	3503.08	2234.35	52.1499
Smp_200690.1	258	98.5262	219	181.738
Smp_200700.1	168	34.4927	1	2.37042
