target_id	length	eff_length	est_counts	tpm
Smp_053390.1	510	342.876	1535	424.509
Smp_150750.1	7524	7356.57	562	7.24398
Smp_150740.1	2760	2592.57	1332	48.718
Smp_150730.1	3084	2916.57	62	2.01574
Smp_200350.1	174	39.8432	1	2.37992
Smp_150720.1	210	63.5137	0	0
Smp_200560.1	312	149.495	25	15.8573
Smp_194870.1	312	149.495	38.541	24.4463
Smp_194860.1	279	119.464	11746	9323.29
Smp_053300.1	3877	3709.57	135.459	3.46258
Smp_156140.1	1926	1758.57	54	2.91172
Smp_168410.1	1140	972.573	17	1.65746
Smp_085180.1	1108	940.573	280	28.2281
Smp_168400.1	11968	11800.6	192.661	1.54813
Smp_196450.1	862	694.573	51	6.96255
Smp_163640.1	450	283.234	164	54.9053
Smp_077030.1	1522	1354.57	1197	83.793
Smp_163630.2	301	139.384	3125.06	2126
Smp_163630.1	551	383.716	6862.94	1695.96
Smp_076710.1	1113	945.573	197	19.7555
Smp_163440.1	678	510.626	0	0
Smp_163430.1	1364	1196.57	350	27.7361
Smp_163420.1	12655	12487.6	1216	9.23361
Smp_163420.2	5205	5037.57	0	0
Smp_058200.1	234	81.7049	0	0
Smp_200580.1	294	132.977	0	0
Smp_076660.1	6791	6623.57	623.582	8.92724
Smp_076630.2	1937	1769.57	143.865	7.7091
Smp_076630.1	1970	1802.57	15.1348	0.796157
Smp_163400.1	273	114.075	1	0.831235
Smp_200600.1	363	197.827	0	0
Smp_080280.1	2690	2522.57	1202.89	45.2165
Smp_080280.3	3026	2858.57	58.1136	1.92772
Smp_165400.1	6677	6509.57	16.6505	0.242544
Smp_165400.3	3012	2844.57	232.911	7.76408
Smp_165410.1	1122	954.573	23	2.28473
Smp_080320.1	1269	1101.57	154	13.2563
Smp_165420.1	11811	11643.6	436.083	3.5514
Smp_080360.1	746	578.573	4	0.655568
Smp_159790.1	5208	5040.57	231	4.34559
Smp_069400.1	744	576.573	63	10.361
Smp_069380.1	4065	3897.57	179	4.35487
Smp_159780.1	8175	8007.57	716	8.47868
Smp_196730.1	1800	1632.57	46	2.67178
Smp_159760.1	924	756.573	42	5.26398
Smp_159750.1	9712	9544.57	294.16	2.92243
Smp_159740.1	2319	2151.57	507	22.3444
Smp_159730.2	2313	2145.57	0	0
Smp_159730.1	3198	3030.57	596	18.6482
Smp_196720.1	995	827.573	203	23.2598
Smp_035540.1	1636	1468.57	229.134	14.7949
Smp_035540.2	1547	1379.57	2.86563	0.196966
Smp_035550.1	468	301.134	64	20.1529
Smp_035560.2	694	526.573	2122.44	382.202
Smp_035560.1	655	487.676	497.559	96.7453
Smp_035580.1	2986	2818.57	1188	39.9672
Smp_141310.1	4191	4023.57	49	1.15478
