target_id	length	eff_length	est_counts	tpm
Smp_080280.3	3026	2848.7	288.404	8.00685
Smp_165400.1	6677	6499.7	70.7987	0.861467
Smp_165400.3	3012	2834.7	1068.93	29.8229
Smp_165410.1	1122	944.704	4	0.334866
Smp_080320.1	1269	1091.7	85	6.15774
Smp_165420.1	11811	11633.7	1030.68	7.0067
Smp_080360.1	746	568.704	166	23.085
Smp_159790.1	5208	5030.7	215	3.38
Smp_069400.1	744	566.704	20	2.79114
Smp_069380.1	4065	3887.7	382	7.77101
Smp_159780.1	8175	7997.7	415	4.10384
Smp_196730.1	1800	1622.7	21	1.0235
Smp_159760.1	924	746.704	234	24.7842
Smp_159750.1	9712	9534.7	550.656	4.56752
Smp_159740.1	2319	2141.7	269	9.93345
Smp_159730.2	2313	2135.7	0	0
Smp_159730.1	3198	3020.7	1194	31.2611
Smp_196720.1	995	817.704	276	26.6944
Smp_035540.1	1636	1458.7	301.734	16.3593
Smp_035540.2	1547	1369.7	11.2664	0.65053
Smp_035550.1	468	291.159	52	14.1247
Smp_035560.2	694	516.725	2807.22	429.659
Smp_035560.1	655	477.873	1087.78	180.027
Smp_035580.1	2986	2808.7	1565	44.0672
Smp_141310.1	4191	4013.7	35	0.689652
Smp_141320.1	1260	1082.7	276	20.1607
Smp_035620.1	552	374.95	373	78.6761
Smp_193250.1	303	131.742	117	70.2375
Smp_141330.1	1172	994.704	1326	105.428
Smp_141340.1	279	110.62	37	26.4531
Smp_035640.1	294	123.735	3	1.9175
Smp_035650.1	1236	1058.7	10	0.747021
Smp_141350.1	2799	2621.7	43	1.29716
Smp_141360.1	3870	3692.7	797	17.0695
Smp_188100.1	150	23.3506	30	101.609
Smp_210790.1	729	551.725	1148	164.561
Smp_210800.1	1440	1262.7	28	1.75373
Smp_141380.1	2150	1972.7	353	14.1521
Smp_035700.1	1287	1109.7	156	11.118
Smp_141390.1	1347	1169.7	427	28.8708
Smp_141290.1	2025	1847.7	1360.99	58.2547
Smp_141290.4	1545	1367.7	847.444	49.0034
Smp_141290.3	1377	1199.7	28.5628	1.88293
Smp_141290.2	1680	1502.7	0	0
Smp_141280.1	1134	956.704	36	2.976
Smp_035500.1	735	557.704	37	5.24693
Smp_141270.1	2124	1946.7	160	6.50021
Smp_035480.1	678	500.818	852	134.545
Smp_035470.1	1689	1511.7	3730	195.141
Smp_141260.1	357	182.116	2	0.868541
Smp_035460.1	1685	1507.7	221	11.5927
Smp_141250.1	2409	2231.7	46	1.63015
Smp_141240.1	2079	1901.7	394	16.3855
Smp_035430.1	1556	1378.7	316.428	18.1515
Smp_035430.2	2201	2023.7	2034.57	79.5121
Smp_035410.1	1048	870.704	557	50.5932
Smp_035390.1	2215	2037.7	763	29.6136
Smp_035380.1	675	497.818	21	3.33623
Smp_035370.1	959	781.704	21	2.12463
Smp_035360.1	3071	2893.7	339	9.26516
Smp_141230.1	2241	2063.7	42	1.60957
Smp_141220.1	1959	1781.7	726	32.2262
Smp_035310.1	1829	1651.7	2388	114.343
Smp_035300.1	2930	2752.7	510.784	14.6752
Smp_035300.2	839	661.704	563.216	67.316
Smp_035290.1	2218	2040.7	88	3.41044
Smp_035280.1	1621	1443.7	737	40.3735
Smp_035270.2	1050	872.704	3068.84	278.108
Smp_035270.1	1271	1093.7	624.165	45.1343
Smp_035260.1	10866	10688.7	1059.18	7.83704
Smp_035250.1	884	706.704	16	1.79056
Smp_035220.1	1782	1604.7	82	4.04135
Smp_035210.1	3327	3149.7	1233	30.96
Smp_035200.2	1471	1293.7	787.374	48.1341
Smp_035200.1	1442	1264.7	3219.39	201.323
Smp_035200.4	1206	1028.7	5049.23	388.188
Smp_035200.3	1263	1085.7	0	0
Smp_035190.2	4811	4633.7	1014.42	17.314
Smp_035190.1	8095	7917.7	973.76	9.72658
Smp_141190.1	390	214.074	7	2.58608
Smp_035180.1	855	677.704	45	5.25146
Smp_035160.1	1104	926.704	42	3.58439
Smp_035150.1	948	770.704	580	59.5179
Smp_035140.1	3732	3554.7	75	1.66865
Smp_035120.1	438	261.312	4	1.21062
Smp_141180.1	1074	896.704	66	5.82106
Smp_035110.1	3435	3257.7	779	18.9118
Smp_141170.1	255	90.5564	6	5.2401
Smp_035090.1	3278	3100.7	689.595	17.589
Smp_035090.3	3231	3053.7	0	0
Smp_035090.2	2583	2405.7	649.405	21.3492
Smp_035080.1	549	371.95	279	59.3235
Smp_141160.1	888	710.704	228	25.3719
Smp_141150.1	2958	2780.7	1750	49.7726
Smp_035040.1	967	789.704	65	6.50963
Smp_035030.1	4039	3861.7	2800	57.3438
Smp_035020.1	1484	1306.7	81.8489	4.95385
Smp_035020.2	1729	1551.7	1143.58	58.286
Smp_035010.1	750	572.704	913	126.08
Smp_035000.1	455	278.212	231	65.6665
Smp_141140.1	2255	2077.7	1297	49.3701
Smp_034980.1	2637	2459.7	1257.51	40.4331
Smp_034980.3	2665	2487.7	135.502	4.30778
Smp_034980.2	2594	2416.7	69.9855	2.2903
Smp_141130.1	228	69.6603	0	0
Smp_141120.1	4932	4754.7	578	9.61417
Smp_141110.1	738	560.704	145	20.4523
Smp_141100.1	2283	2105.7	487	18.2911
Smp_034940.1	6091	5913.7	1073.53	14.357
Smp_034940.2	2355	2177.7	1848.22	67.1217
Smp_034940.3	2457	2279.7	43.8735	1.52206
Smp_141080.1	1529	1351.7	815	47.6852
Smp_034920.1	10812	10634.7	112	0.832914
Smp_141070.1	4560	4382.7	98	1.76844
Smp_034870.1	11214	11036.7	3135.56	22.469
Smp_034860.1	5454	5276.7	13	0.194844
Smp_034850.1	1353	1175.7	392	26.3691
Smp_034840.2	1637	1459.7	2860.98	155.009
Smp_034840.1	1673	1495.7	5192.6	274.566
Smp_034840.3	750	572.704	4121.41	569.145
Smp_141040.1	2934	2756.7	759	21.775
Smp_020450.1	2005	1827.7	1258	54.4355
Smp_133280.1	1869	1691.7	1533	71.668
Smp_133270.1	2750	2572.7	1628	50.0463
Smp_133260.1	252	88.129	25	22.4351
Smp_133250.1	3268	3090.7	344	8.80255
Smp_020400.1	1389	1211.7	373	24.3456
Smp_133230.1	1260	1082.7	173.272	12.6569
Smp_133230.2	1213	1035.7	38.7277	2.95729
Smp_133220.1	156	26.0951	19	57.5839
Smp_020370.1	642	464.89	3140	534.179
Smp_020360.1	321	148.149	1851	988.129
Smp_020340.1	3012	2834.7	321.346	8.96546
Smp_133210.1	2712	2534.7	121.654	3.79583
Smp_020300.1	3158	2980.7	852	22.6062
Smp_210400.1	750	572.704	497	68.6331
Smp_210410.1	963	785.704	341	34.3244
Smp_020270.1	5100	4922.7	330	5.30173
Smp_133180.1	3875	3697.7	150.558	3.22018
Smp_133180.2	5414	5236.7	1776.44	26.8287
Smp_133170.1	1059	881.704	249	22.3349
Smp_020210.1	1882	1704.7	985	45.6977
Smp_133160.1	561	383.936	145	29.8687
Smp_020220.1	703	525.725	1022.35	153.796
Smp_020220.2	692	514.725	33.6549	5.17107
Smp_020200.1	2490	2312.7	803	27.4602
Smp_133150.1	2335	2157.7	620	22.7252
Smp_133140.1	2160	1982.7	398	15.8757
Smp_178720.1	441	264.293	72	21.5454
Smp_101840.1	648	470.89	0	0
Smp_178710.1	912	734.704	84	9.0422
Smp_020170.1	6165	5987.7	171	2.25862
Smp_133120.1	2658	2480.7	1150.88	36.6912
Smp_133120.2	2640	2462.7	2111.12	67.7967
Smp_133110.1	1163	985.704	1205	96.6825
Smp_020130.1	2839	2661.7	69	2.0502
Smp_020120.1	858	680.704	305	35.4363
Smp_133100.1	3009	2831.7	25	0.698232
Smp_133090.1	390	214.074	13	4.80271
Smp_133080.1	939	761.704	3	0.311489
Smp_133070.1	1113	935.704	41	3.46539
Smp_155100.1	405	228.77	32	11.0626
Smp_155090.1	477	300.072	23	6.06191
Smp_020090.1	1243	1065.7	540	40.0742
Smp_020080.1	1803	1625.7	613.591	29.85
Smp_020080.2	999	821.704	164.409	15.824
Smp_020070.1	2802	2624.7	2645	79.699
Smp_020060.1	2945	2767.7	966.921	27.6299
Smp_020050.1	2345	2167.7	1469.08	53.5985
Smp_020040.1	3926	3748.7	253.149	5.34075
Smp_020040.2	1503	1325.7	1769.85	105.584
Smp_133050.1	4050	3872.7	902	18.4204
Smp_019990.1	2910	2732.7	658	19.0432
Smp_019980.1	1493	1315.7	1487	89.3841
Smp_019860.1	17508	17330.7	1142.52	5.21382
Smp_019880.1	957	779.704	1196	121.313
Smp_019890.1	987	809.704	439	42.8791
Smp_019900.1	1683	1505.7	720.564	37.8478
Smp_133020.1	714	536.725	403	59.3828
Smp_191040.1	261	95.4891	114	94.4189
Smp_019920.1	1503	1325.7	261	15.5705
Smp_133030.1	465	288.17	12	3.29337
Smp_019940.1	2131	1953.7	563.912	22.8276
Smp_019940.4	968	790.704	661.214	66.1356
Smp_019940.5	4601	4423.7	377.616	6.75106
Smp_151170.1	846	668.704	7.5663	0.894863
Smp_200380.1	1398	1220.7	390	25.2675
Smp_019950.1	1191	1013.7	1018	79.4226
Smp_133040.1	5762	5584.7	478	6.76917
Smp_172790.1	423	246.481	171	54.8681
Smp_172780.1	3060	2882.7	728	19.9728
Smp_172800.1	1713	1535.7	729	37.5429
Smp_196590.1	1750	1572.7	482	24.2386
Smp_210750.1	420	243.517	223	72.424
Smp_210760.1	3864	3686.7	371	7.95872
Smp_165980.1	1163	985.704	239	19.176
Smp_165970.1	2484	2306.7	205	7.02861
Smp_081260.1	2778	2600.7	752	22.8683
Smp_081250.1	2448	2270.7	31	1.07971
Smp_165960.1	1545	1367.7	828	47.8791
Smp_165950.1	1209	1031.7	88	6.74582
Smp_081200.1	909	731.704	54	5.83668
Smp_081190.1	1373	1195.7	516	34.1298
Smp_200390.1	150	23.3506	3.37013	11.4145
Smp_200400.1	222	65.2217	15	18.1889
Smp_165940.1	354	179.21	11	4.85443
Smp_165930.1	4417	4239.7	2920	54.4697
Smp_165920.1	5080	4902.7	151.709	2.44728
Smp_165920.2	4650	4472.7	838.291	14.8229
Smp_081140.1	1354	1176.7	101.349	6.81177
Smp_173190.1	5084	4906.7	674	10.8637
Smp_131790.1	207	54.4919	74	107.401
Smp_173180.2	1339	1161.7	706.738	48.1139
Smp_173180.1	1507	1329.7	23.2618	1.38355
Smp_093230.1	1328	1150.7	1316	90.4481
Smp_093220.1	1995	1817.7	1105	48.078
Smp_093210.1	1932	1754.7	117	5.27338
Smp_200410.1	954	776.704	1362	138.685
Smp_167850.1	1718	1540.7	611.654	31.3974
Smp_208090.1	22706	22528.7	2715.48	9.53274
Smp_200420.1	219	63.0157	39.4045	49.4543
Smp_024500.4	992	814.704	295.276	28.664
Smp_024500.1	4355	4177.7	944.555	17.8812
Smp_024490.1	1149	971.704	1683	136.98
Smp_135440.1	276	108	2	1.46459
Smp_210830.1	16084	15906.7	621.442	3.08978
Smp_210840.1	1632	1454.7	967.623	52.6065
Smp_098320.1	504	327.027	254	61.4267
Smp_098330.1	2794	2616.7	933	28.199
Smp_014170.2	3202	3024.7	1950.15	50.9909
Smp_014170.1	3674	3496.7	2796.85	63.2583
